Cueanexo,departamento_id,SNU,SNU - INET,Secundario - INET,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20058900,2028,0,0,0,0,0,1,0
20059200,2091,0,0,0,0,0,1,0
20059300,2105,0,0,0,0,0,1,0
20059400,2084,0,0,0,1,1,1,1
20059500,2028,0,0,0,0,1,0,0
20059600,2028,0,0,0,0,0,1,0
20059800,2105,0,0,0,0,0,1,0
20059900,2084,0,0,0,0,0,1,0
20060000,2028,0,0,0,0,1,1,1
20060100,2028,0,0,0,0,0,1,0
20060200,2014,0,0,0,0,0,0,1
20060300,2021,1,1,0,0,0,0,0
20060500,2021,0,0,0,1,1,1,1
20060600,2028,0,0,0,0,1,0,0
20060700,2007,0,0,0,0,0,1,0
20061100,2049,0,0,0,0,0,0,1
20061200,2049,0,0,1,0,0,0,1
20061300,2049,0,0,0,1,1,1,1
20061400,2084,0,0,0,1,1,1,0
20061500,2105,0,0,0,0,0,1,0
20061600,2049,0,0,0,1,1,1,1
20061700,2007,0,0,0,0,1,0,0
20061701,2007,0,0,0,0,1,0,0
20061703,2028,0,0,0,0,1,0,0
20061704,2028,0,0,0,0,1,0,0
20061800,2077,0,0,0,0,0,1,0
20061900,2084,0,0,0,0,0,1,0
20062000,2028,0,0,0,0,1,1,1
20062100,2028,0,0,0,0,1,0,0
20062200,2091,0,0,1,0,0,0,1
20062300,2028,0,0,0,0,0,0,1
20062400,2091,0,0,0,1,1,1,1
20062600,2028,0,0,0,0,0,0,0
20062800,2007,0,0,0,0,0,0,1
20062900,2007,0,0,0,0,0,1,0
20063000,2007,0,0,0,1,1,0,0
20063100,2007,0,0,0,0,0,1,0
20063200,2007,0,0,0,0,1,1,0
20063300,2007,0,0,0,0,1,1,1
20063500,2021,0,0,0,0,0,1,0
20063700,2056,0,0,0,0,0,0,1
20063800,2056,0,0,0,0,0,1,0
20063900,2056,0,0,0,1,1,0,0
20064100,2056,1,0,0,0,1,1,1
20064200,2014,0,0,0,1,1,1,0
20064300,2021,0,0,0,0,0,0,1
20064400,2021,0,0,0,0,0,1,0
20064500,2014,0,0,0,0,0,1,0
20064600,2098,0,0,0,0,0,1,0
20064700,2098,0,0,0,1,1,0,0
20064800,2014,0,0,0,0,0,1,0
20064900,2056,0,0,0,0,0,0,1
20065000,2007,0,0,0,0,0,1,1
20065100,2035,0,0,0,0,0,0,0
20065200,2021,0,0,0,0,0,0,1
20065300,2105,0,0,0,1,1,1,1
20065400,2028,0,0,0,0,0,1,0
20065500,2035,0,0,0,0,1,1,1
20065600,2035,0,0,0,0,0,1,0
20065800,2035,0,0,0,0,1,1,1
20065900,2021,0,0,0,0,0,1,0
20066000,2035,0,0,0,0,0,1,0
20066100,2035,0,0,0,0,0,1,0
20066200,2070,0,0,0,0,0,1,0
20066300,2063,1,0,0,1,1,1,1
20066400,2070,0,0,0,0,1,1,1
20066600,2056,0,0,0,0,1,0,0
20066700,2056,0,0,0,0,0,1,0
20066800,2056,0,0,0,1,1,1,1
20066900,2056,0,0,0,0,0,1,0
20067000,2014,0,0,0,0,1,1,0
20067200,2056,0,0,0,1,1,1,1
20067300,2014,0,0,0,1,1,1,1
20067400,2084,0,0,0,1,1,1,1
20067500,2014,0,0,0,0,1,1,1
20067600,2028,0,0,0,0,1,1,1
20067700,2070,0,0,0,0,1,1,1
20067800,2070,0,0,0,0,0,1,0
20068000,2070,0,0,0,0,0,0,1
20068100,2070,0,0,0,0,0,1,0
20068300,2070,0,0,0,1,1,1,1
20068400,2070,0,0,0,1,1,1,1
20068500,2035,0,0,0,1,1,1,1
20068600,2105,0,0,0,1,1,1,1
20068700,2105,0,0,0,0,0,1,0
20068900,2105,0,0,0,0,0,1,0
20069000,2021,1,0,0,1,1,1,1
20069100,2021,0,0,0,0,1,1,1
20069200,2021,1,0,0,0,0,0,0
20069400,2070,0,0,0,0,0,1,0
20069500,2070,0,0,0,0,1,0,0
20069502,2070,0,0,0,1,1,0,0
20069504,2070,0,0,0,0,1,0,0
20069600,2014,1,0,0,1,1,1,1
20069700,2070,0,0,0,0,0,0,0
20069800,2056,0,0,0,0,0,0,0
20069900,2014,0,0,0,1,1,1,1
20070000,2014,0,0,0,1,1,1,1
20070100,2056,0,0,0,0,0,1,0
20070200,2028,0,0,0,0,1,0,0
