Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Poblacion
Formosa,Ramón Lista,0.0,110.0,17678.0
Entre Rios,Tala,10.0,109.0,31091.0
Buenos Aires,Chacabuco,53.0,108.0,52409.0
Buenos Aires,Cañuelas,58.0,106.0,70542.0
Buenos Aires,Bolívar,23.0,105.0,37194.0
Chaco,Quitilipi,1.0,105.0,32430.0
Buenos Aires,Lobos,28.0,104.0,41418.0
Misiones,Montecarlo,25.0,103.0,38620.0
San Luis,Ayacucho,9.0,103.0,23653.0
Chaco,Maipú,2.0,103.0,26354.0
San Juan,Jáchal,18.0,101.0,25269.0
Catamarca,La Paz,9.0,101.0,26341.0
Chubut,Biedma,115.0,100.0,102806.0
Santiago Del Estero,Jiménez,2.0,100.0,18622.0
Santiago Del Estero,Juan Felipe Ibarra,0.0,100.0,20567.0
Tucuman,Yerba Buena,94.0,99.0,102589.0
Tierra Del Fuego,Río Grande,71.0,99.0,98922.0
Tucuman,Lules,51.0,99.0,93464.0
Corrientes,San Luis del Palmar,0.0,99.0,21381.0
Buenos Aires,Chascomús,23.0,98.0,42191.0
Corrientes,Lavalle,2.0,98.0,40406.0
Misiones,Apóstoles,26.0,97.0,50503.0
Buenos Aires,Pehuajó,32.0,96.0,44594.0
Corrientes,Mercedes,25.0,96.0,49807.0
La Rioja,Chilecito,50.0,95.0,58681.0
Corrientes,Monte Caseros,21.0,95.0,45602.0
Catamarca,Santa María,8.0,95.0,26822.0
Buenos Aires,Saladillo,32.0,94.0,35423.0
Santa Fe,San Javier,11.0,94.0,33180.0
Cordoba,Ischilín,2.0,94.0,36023.0
Mendoza,San Carlos,106.0,93.0,39752.0
Chubut,Futaleufú,31.0,93.0,49965.0
Buenos Aires,San Andrés de Giles,20.0,93.0,26399.0
Jujuy,Humahuaca,0.0,93.0,20877.0
Buenos Aires,Villarino,53.0,92.0,32552.0
Buenos Aires,General Villegas,39.0,92.0,35055.0
San Luis,Junín,19.0,92.0,40289.0
Corrientes,Bella Vista,18.0,92.0,44369.0
San Juan,Rivadavia,15.0,92.0,101334.0
Catamarca,Tinogasta,7.0,92.0,25254.0
Tucuman,Río Chico,3.0,92.0,64927.0
Salta,Santa Victoria,0.0,92.0,9411.0
Mendoza,Tunuyán,136.0,91.0,59972.0
Tierra Del Fuego,Ushuaia,81.0,91.0,80009.0
Mendoza,Rivadavia,70.0,91.0,63589.0
Buenos Aires,Baradero,25.0,91.0,39223.0
Cordoba,Presidente Roque Sáenz Peña,34.0,89.0,37551.0
Buenos Aires,San Vicente,22.0,89.0,97929.0
Cordoba,General Roca,27.0,88.0,36064.0
Jujuy,Ledesma,15.0,88.0,94132.0
Cordoba,Tulumba,3.0,88.0,14092.0
Tucuman,Graneros,0.0,88.0,15539.0
Mendoza,Junín,38.0,87.0,46472.0
Corrientes,Paso de los Libres,27.0,87.0,56778.0
Buenos Aires,Berisso,17.0,87.0,100685.0
Misiones,San Javier,4.0,87.0,23080.0
Formosa,Pilagás,2.0,87.0,19089.0
Jujuy,Yavi,2.0,87.0,25831.0
Santiago Del Estero,Quebrachos,2.0,87.0,12336.0
Santiago Del Estero,Salavina,0.0,87.0,12775.0
Buenos Aires,Coronel de Marina Leonardo Rosales,13.0,86.0,65823.0
Buenos Aires,La Costa,39.0,85.0,100400.0
Salta,Rosario de la Frontera,31.0,85.0,33750.0
Corrientes,Ituzaingó,26.0,85.0,38767.0
Buenos Aires,Patagones,22.0,85.0,37499.0
Santiago Del Estero,Ojo de Agua,4.0,85.0,15008.0
Santiago Del Estero,San Martín,1.0,84.0,11183.0
La Rioja,Rosario Vera Peñaloza,0.0,84.0,15764.0
Salta,Rosario de Lerma,17.0,82.0,50961.0
Chaco,9 de Julio,8.0,82.0,30223.0
Chubut,Cushamen,15.0,81.0,28099.0
Chaco,Chacabuco,31.0,80.0,34493.0
Salta,Metán,26.0,80.0,48028.0
Salta,General Güemes,11.0,80.0,55746.0
Corrientes,General Paz,3.0,80.0,17016.0
Buenos Aires,Lobería,17.0,79.0,18106.0
Chaco,Bermejo,4.0,79.0,28060.0
La Pampa,Maracó,79.0,78.0,69067.0
Rio Negro,Avellaneda,38.0,78.0,41160.0
Buenos Aires,Las Flores,9.0,78.0,27136.0
Buenos Aires,Ayacucho,6.0,78.0,21757.0
Buenos Aires,General Alvarado,29.0,77.0,45307.0
Corrientes,Empedrado,4.0,77.0,17948.0
Cordoba,Río Seco,0.0,77.0,15275.0
Cordoba,Totoral,39.0,76.0,22473.0
Buenos Aires,Carlos Casares,20.0,76.0,22905.0
Chaco,O'Higgins,0.0,76.0,21544.0
Misiones,Candelaria,14.0,75.0,34945.0
Chaco,25 de Mayo,0.0,75.0,32606.0
Buenos Aires,Marcos Paz,32.0,74.0,64761.0
Buenos Aires,Magdalena,14.0,74.0,22653.0
Jujuy,Cochinoca,2.0,74.0,14998.0
Neuquen,Zapala,28.0,73.0,45540.0
Corrientes,Saladas,5.0,73.0,29126.0
Tucuman,Trancas,5.0,73.0,23438.0
Catamarca,Capayán,0.0,73.0,19471.0
San Juan,Sarmiento,45.0,72.0,27188.0
Mendoza,Malargüe,34.0,72.0,32596.0
San Juan,Caucete,28.0,72.0,44017.0
Buenos Aires,Navarro,10.0,72.0,19888.0
Chaco,12 de Octubre,10.0,72.0,23179.0
Corrientes,Concepción,10.0,72.0,26270.0
Tucuman,Famaillá,26.0,71.0,42669.0
Entre Rios,Feliciano,0.0,71.0,16717.0
San Luis,Libertador General San Martín,0.0,71.0,4691.0
Buenos Aires,Ensenada,36.0,70.0,63978.0
Buenos Aires,Bragado,25.0,70.0,46227.0
Buenos Aires,General Juan Madariaga,14.0,70.0,22566.0
Buenos Aires,Coronel Pringles,13.0,70.0,24110.0
Buenos Aires,Mar Chiquita,8.0,70.0,32973.0
Corrientes,San Roque,2.0,69.0,22682.0
Formosa,Laishi,0.0,69.0,19275.0
Tucuman,Tafí del Valle,0.0,69.0,22382.0
Santa Fe,Belgrano,113.0,68.0,48544.0
Buenos Aires,San Antonio de Areco,21.0,68.0,26695.0
Buenos Aires,Adolfo Alsina,3.0,68.0,17344.0
Santiago Del Estero,Atamisqui,0.0,68.0,14894.0
Buenos Aires,Salto,58.0,67.0,39257.0
San Juan,Pocito,51.0,67.0,72879.0
San Luis,Chacabuco,36.0,67.0,26522.0
Buenos Aires,Brandsen,18.0,67.0,32350.0
Buenos Aires,Rojas,56.0,66.0,25619.0
San Juan,Chimbas,47.0,66.0,103772.0
Buenos Aires,Coronel Dorrego,0.0,66.0,15795.0
Mendoza,Santa Rosa,37.0,65.0,19379.0
Entre Rios,Islas del Ibicuy,2.0,65.0,13984.0
La Rioja,General Juan Facundo Quiroga,0.0,65.0,4013.0
San Luis,Coronel Pringles,12.0,64.0,16044.0
San Juan,Valle Fértil,2.0,64.0,8425.0
Jujuy,Palpalá,17.0,63.0,65522.0
Neuquen,Lácar,33.0,62.0,39567.0
Buenos Aires,Arrecifes,28.0,62.0,32077.0
San Juan,25 de Mayo,15.0,62.0,20824.0
Buenos Aires,Roque Pérez,11.0,62.0,13901.0
Buenos Aires,Tornquist,6.0,62.0,14591.0
Buenos Aires,Presidente Perón,2.0,62.0,101994.0
Mendoza,Tupungato,128.0,61.0,41168.0
Buenos Aires,Exaltación de la Cruz,27.0,61.0,40036.0
Buenos Aires,Carmen de Areco,16.0,61.0,17345.0
Catamarca,Andalgalá,11.0,61.0,19545.0
Buenos Aires,Puán,6.0,61.0,16462.0
